path	disposition	importers	in_package_json	in_ci	doc_refs	evidence
backend/scripts/_activate.ts	UNKNOWN	0	False	False	0	no import, package.json, CI or doc reference found
backend/scripts/_approve1.ts	UNKNOWN	0	False	False	0	no import, package.json, CI or doc reference found
backend/scripts/_approveall.ts	UNKNOWN	0	False	False	0	no import, package.json, CI or doc reference found
backend/scripts/_approverr.ts	UNKNOWN	0	False	False	0	no import, package.json, CI or doc reference found
backend/scripts/_audit.ts	UNKNOWN	0	False	False	0	no import, package.json, CI or doc reference found
backend/scripts/_audit_all.ts	UNKNOWN	0	False	False	0	no import, package.json, CI or doc reference found
backend/scripts/_backmatter.ts	UNKNOWN	0	False	False	0	no import, package.json, CI or doc reference found
backend/scripts/_badgecount.ts	UNKNOWN	0	False	False	0	no import, package.json, CI or doc reference found
backend/scripts/_batch.ts	HISTORICAL	0	False	False	1	named in ENTRY_CENTRIC_ARCHITECTURE_SPEC.md
backend/scripts/_beforeafter.ts	UNKNOWN	0	False	False	0	no import, package.json, CI or doc reference found
backend/scripts/_bookcfg.ts	UNKNOWN	0	False	False	0	no import, package.json, CI or doc reference found
backend/scripts/_bpmany.ts	UNKNOWN	0	False	False	0	no import, package.json, CI or doc reference found
backend/scripts/_buildbook.ts	HISTORICAL	0	False	False	1	named in README.md
backend/scripts/_cachetest.ts	UNKNOWN	0	False	False	0	no import, package.json, CI or doc reference found
backend/scripts/_capacity.ts	UNKNOWN	0	False	False	0	no import, package.json, CI or doc reference found
backend/scripts/_chlist.ts	UNKNOWN	0	False	False	0	no import, package.json, CI or doc reference found
backend/scripts/_compare5.ts	UNKNOWN	0	False	False	0	no import, package.json, CI or doc reference found
backend/scripts/_contactsheet.ts	UNKNOWN	0	False	False	0	no import, package.json, CI or doc reference found
backend/scripts/_dbgprev.ts	UNKNOWN	0	False	False	0	no import, package.json, CI or doc reference found
backend/scripts/_delines.ts	UNKNOWN	0	False	False	0	no import, package.json, CI or doc reference found
backend/scripts/_drypaginate.ts	HISTORICAL	0	False	False	1	named in HANDOFF_EVERY_PAGE_ILLUSTRATED.md
backend/scripts/_err.ts	HISTORICAL	0	False	False	1	named in ERROR_HANDLING_STANDARD.md
backend/scripts/_exp_fetch_spec.ts	UNKNOWN	0	False	False	0	no import, package.json, CI or doc reference found
backend/scripts/_exp_generate.ts	UNKNOWN	0	False	False	0	no import, package.json, CI or doc reference found
backend/scripts/_exp_lib.ts	ACTIVE	2	False	False	0	2 importer(s)
backend/scripts/_exp_smoke.ts	UNKNOWN	0	False	False	0	no import, package.json, CI or doc reference found
backend/scripts/_exp_validate.ts	UNKNOWN	0	False	False	0	no import, package.json, CI or doc reference found
backend/scripts/_export.ts	UNKNOWN	0	False	False	0	no import, package.json, CI or doc reference found
backend/scripts/_findpage.ts	UNKNOWN	0	False	False	0	no import, package.json, CI or doc reference found
backend/scripts/_findrenders.ts	HISTORICAL	0	False	False	1	named in HANDOFF_EVERY_PAGE_ILLUSTRATED.md
backend/scripts/_fixline.ts	UNKNOWN	0	False	False	0	no import, package.json, CI or doc reference found
backend/scripts/_fixmove.ts	UNKNOWN	0	False	False	0	no import, package.json, CI or doc reference found
backend/scripts/_flipbook.ts	UNKNOWN	0	False	False	0	no import, package.json, CI or doc reference found
backend/scripts/_fmkeys.ts	UNKNOWN	0	False	False	0	no import, package.json, CI or doc reference found
backend/scripts/_folioview.ts	UNKNOWN	0	False	False	0	no import, package.json, CI or doc reference found
backend/scripts/_folioz.ts	UNKNOWN	0	False	False	0	no import, package.json, CI or doc reference found
backend/scripts/_full.ts	UNKNOWN	0	False	False	0	no import, package.json, CI or doc reference found
backend/scripts/_geocheck.ts	UNKNOWN	0	False	False	0	no import, package.json, CI or doc reference found
backend/scripts/_grid.ts	UNKNOWN	0	False	False	0	no import, package.json, CI or doc reference found
backend/scripts/_inspect.ts	UNKNOWN	0	False	False	0	no import, package.json, CI or doc reference found
backend/scripts/_keys.ts	HISTORICAL	0	False	False	1	named in SPEC_PAGINATION_V1.md
backend/scripts/_layoutfix.ts	UNKNOWN	0	False	False	0	no import, package.json, CI or doc reference found
backend/scripts/_layoutpreview.ts	UNKNOWN	0	False	False	0	no import, package.json, CI or doc reference found
backend/scripts/_movehead.ts	UNKNOWN	0	False	False	0	no import, package.json, CI or doc reference found
backend/scripts/_moveline.ts	UNKNOWN	0	False	False	0	no import, package.json, CI or doc reference found
backend/scripts/_msrange.ts	UNKNOWN	0	False	False	0	no import, package.json, CI or doc reference found
